City,GDP,"Incineration.Amount(10,000ton)"
Changchun City,5530.03,31
Changsha City,8510.13,203.04
Changzhi City,1137.1,23
Zhaoyuan City,639.84,6.86
Shaotong City,709.2,14.6
Zhaoqing City,1970.01,27.76
Zhenjiang City,3502.48,31
Zhengzhou City,7315.19,206.96
Zhongshan City,3010.03,24.97
Chongqing Municipality,15719.72,440.03
Zhoushan City,1094.7,24
Zhoukou City,2082.38,14.86
Zhuhai City,2024.98,81.5
Zhuzhou City,2335.11,38.19
Zhuji City,1026.78,29
Zhumadian City,1807.09,18.86
Ziyang City,1270.4,18.28
Zibo City,4130.2,31
Zigong City,1143.11,35.47
Zunyi City,2168.34,34.51
